name,t90,fluence,flux_1024
GRB110818860,  67.073,0.0000051538,  2.7898
GRB170127067,   0.128,0.0000055868, 12.8475
GRB140508179,  19.456,0.0000033351,  3.2534
GRB130523198,   5.376,0.0000027096,  9.4144
GRB180727594,   0.896,0.00000039404,  4.9606
GRB131105087, 112.642,0.000023777,  8.4050
GRB200205845,  17.408,0.00000063807,  1.4188
GRB131030653,  53.248,0.00000165,  1.8714
GRB180602938,   0.008,0.00000020878,  1.4632
GRB150403913,  22.272,0.000054707, 33.4884
GRB140422194, 361.472,0.0000047774,  1.7864
GRB081204004,   7.424,0.0000010188,  3.0146
GRB080905705, 105.984,0.0000029093,  2.3229
GRB141016897,  17.405,0.000003579,  7.4066
GRB090717034,  65.537,0.000023235, 16.5318
GRB121217313, 828.672,0.0000067667,  3.3554
GRB110521478,   6.141,0.0000036081, 15.7355
GRB191031780,  77.825,0.00001106,  7.2760
GRB111003465,  16.640,0.000021043, 18.4370
GRB200803703,  54.784,0.0000085331,  5.4759
GRB180625941,   0.704,0.00000032452,  3.3186
GRB170906485,  45.568,0.00000043647,  1.1297
GRB110929187,   5.120,0.0000021973,  5.5562
GRB171004857,   8.192,0.0000013102,  4.1405
GRB160528276,   7.168,0.00000074301,  3.4317
GRB150802127, 313.093,0.000014592,  6.0266
GRB130406288,   7.936,0.000002924, 12.8448
GRB170912273,  13.568,0.0000038202,  8.8048
GRB141013803,  82.432,0.0000088092,  2.9284
GRB170727841,  19.200,0.00000087289,  1.5917
GRB210119121,   0.048,0.00000018742,  1.4498
GRB170112970,   7.360,0.00000056152,  3.1305
GRB190531840,  38.145,0.000098106, 29.1807
GRB150228981,  36.609,0.000011531,  9.5093
GRB150206285,  23.296,0.000002983,  3.0782
GRB151231443,  71.425,0.000085926, 46.8525
GRB171025913,   7.936,0.00000040953,  1.3364
GRB180822562, 152.003,0.0000081165,  3.7679
GRB140115863,  14.909,0.0000039525,  5.1261
GRB210228277,  42.753,0.000010914,  7.4523
GRB120119229,  41.728,0.0000059423,  4.3373
GRB080719529,  16.128,0.00000077533,  1.1226
GRB120304061,   9.984,0.0000050461, 18.8124
GRB081006872,   3.328,0.00000038718,  1.5316
GRB150514774,  10.813,0.0000047356, 19.9498
GRB091231206,  42.561,0.0000097628,  3.8342
GRB161106786,  12.544,0.0000012292,  5.0753
GRB161110179,   1.792,0.00000015922,  1.5416
GRB160424492,   6.592,0.0000027276,  7.3002
GRB081121858,  41.985,0.000015272,  7.7193
GRB120511638,  45.249,0.0000114,  4.6831
GRB130730243,  27.904,0.0000021151,  3.9605
GRB130304658,  23.296,0.0000016196,  2.5844
GRB190422957, 213.252,0.0000086999,  4.7984
GRB080723557,  58.369,0.00007223, 30.4516
GRB200105914,  16.896,0.0000033754,  6.0858
GRB190626254,  23.808,0.0000017294,  3.4216
GRB080714745,  59.649,0.000006333,  6.9258
GRB140716436, 168.253,0.000011831, 11.1526
GRB130701060,  20.224,0.0000071167, 10.4796
GRB130617564,   0.768,0.00000024091,  4.1299
GRB160912350,  32.705,0.0000040972,  4.7726
GRB150827785,  10.496,0.0000016786,  2.0653
GRB180505540,  21.760,0.000020133, 29.1746
GRB200901158,  10.176,0.0000045091, 11.1767
GRB200617679,   1.216,0.00000020464,  1.2686
GRB190119249,  34.304,0.0000010101,  1.8238
GRB171112868, 302.789,0.000014304,  6.6910
GRB200126466,   0.768,0.0000001283,  1.6754
GRB191019970, 137.730,0.000070178, 13.6424
GRB120909070, 112.066,0.000009848,  3.0275
GRB100225115,  12.992,0.0000058548,  3.8177
GRB100916779,  12.800,0.0000017842,  4.9743
GRB141031304,  19.456,0.0000049279,  2.7053
GRB200219317,   1.152,0.0000015848,  5.8833
GRB140528837,  13.568,0.000021546, 13.6100
GRB190419414, 212.741,0.000013705,  5.5017
GRB161213295,  23.296,0.0000011945,  1.3990
GRB201221978,   7.168,0.0000016077,  3.3632
GRB101208498,   2.048,0.0000038427, 31.9618
GRB180412425,  20.992,0.0000029571,  4.4650
GRB130816074,  36.864,0.00000079647,  1.9471
GRB170627931,  17.152,0.000001791,  2.5814
GRB140929677,  37.120,0.0000018724,  2.2484
GRB140710901,  11.520,0.0000013982,  2.4537
GRB150306993,  18.944,0.000027014, 18.5493
GRB120210650,   1.344,0.0000006445,  7.0448
GRB110207959,   7.680,0.00000034231,  2.3064
GRB111015427,  92.737,0.000024199,  9.1544
GRB161020767,  22.078,0.0000049986,  6.0330
GRB160422499,  12.288,0.000088021, 93.7506
GRB090117640,  15.552,0.0000025311, 10.2220
GRB130206817,  91.585,0.0000025681,  2.1378
GRB150301818,  13.312,0.0000030852,  4.4832
GRB180620660,  46.721,0.0000091061,  6.8380
GRB090510325,   7.424,0.00000056035,  1.8068
GRB150821406, 103.426,0.000052114, 11.1129
GRB140330180,  34.049,0.0000056892,  4.2976
GRB200702892,  23.040,0.0000010551,  1.6128
GRB201120442,   3.136,0.00000047219,  2.3980
GRB091031500,  33.921,0.000015292,  7.1910
GRB150201590,  25.600,0.000002383,  2.0810
GRB081008832, 126.722,0.0000041957,  2.7227
GRB120220210,  21.248,0.0000012373,  1.6993
GRB141222298,   2.752,0.0000092055, 44.2603
GRB161001045,   2.240,0.0000017635,  6.9058
GRB130127299,  19.456,0.0000010219,  1.6716
GRB110319815,  31.232,0.0000024923,  3.5376
GRB110801335,   0.384,0.00000035374,  4.9645
GRB170416583,  61.952,0.000011272, 13.4452
GRB150702998,  45.825,0.000011741,  9.9827
GRB080916406,  46.337,0.0000078107,  4.4700
GRB131028096,  14.336,0.0000014565,  3.4445
GRB210123305,  13.056,0.00002249, 21.9944
GRB210105669,   5.120,0.00000030961,  2.1167
GRB201104808,  40.448,0.0000024556,  2.4311
GRB111009282,  20.736,0.000012033, 16.8558
GRB150824079,  13.568,0.000019695, 22.2673
GRB090519462,  91.329,0.0000043751,  2.5671
GRB080916009,  62.977,0.000060272, 13.6635
GRB100825287,   3.328,0.0000013783, 10.1300
GRB200924386,   2.816,0.00000063666,  4.5154
GRB200101861,   9.984,0.000091089,124.834
GRB120316008,  26.624,0.000016257,  6.8273
GRB181227262,  13.184,0.000063506,110.493
GRB161228388,  72.704,0.0000036017,  2.2041
GRB191205741,   2.048,0.000000098095,  0.9477
GRB111220486,  39.041,0.000053558, 28.9728
GRB190726843, 224.260,0.00001946,  3.6805
GRB140928437,  17.920,0.0000044723,  4.9114
GRB190821716,  59.904,0.0000036154,  4.9224
GRB160827586,  51.200,0.0000060188,  3.9950
GRB160829334,   0.512,0.00000033953,  1.7668
GRB110205588, 158.720,0.0000042107,  3.7123
GRB140506880,  64.128,0.0000065933, 15.6729
GRB190720964,  10.496,0.0000028728,  5.6325
GRB200323782,   2.112,0.0000028845, 25.6038
GRB150425617,   4.352,0.00000080518,  1.5784
GRB180810278,  15.104,0.0000022246,  3.6041
GRB121112806,   1.280,0.00000022315,  1.4505
GRB201021852,  35.328,0.0000016782,  1.8152
GRB160516237,   2.432,0.000001953, 14.0649
GRB101224578,  44.737,0.0000038918,  5.3254
GRB180724807,  58.113,0.000027823, 10.6698
GRB120510900,  62.465,0.0000060145,  2.8185
GRB130228212,  15.677,0.000016586, 26.7766
GRB080928628,  14.336,0.000001165,  3.1868
GRB081129161,  62.657,0.000016194, 14.2978
GRB120331055,  16.384,0.00000067744,  4.1971
GRB210204777,  32.000,0.0000024972,  2.7703
GRB090720710,  10.752,0.000014237,  9.9135
GRB201012233,  64.001,0.0000085926,  3.7962
GRB161020024,  12.288,0.00000080793,  2.3364
GRB210315716,   5.632,0.00000086312,  3.5635
GRB190830264,   5.376,0.0000009327,  4.6236
GRB100715477,  14.848,0.0000025517,  2.1371
GRB180804554,  43.517,0.000010306,  5.1756
GRB081109293,  58.369,0.0000065456,  2.6380
GRB120728934,  32.768,0.000003743,  3.5827
GRB160513553,   1.664,0.00000023115,  2.6907
GRB190409901,   1.600,0.00000046128,  2.6258
GRB171010875,  25.344,0.00000092608,  1.4127
GRB100201588, 141.059,0.00001432,  3.8791
GRB090308734,   1.664,0.0000025458,  6.5627
GRB130515056,   0.256,0.0000010896,  3.7284
GRB200923748,   0.640,0.00000019181,  1.1226
GRB171029020,  19.712,0.0000015372,  3.1700
GRB120117291,   3.328,0.00000012137,  1.2047
GRB191111364,  88.066,0.000014549,  5.4920
GRB110227009,   1.728,0.00000016377,  1.7789
GRB180728728,   6.400,0.000055911,231.042
GRB200714344,   0.960,0.0000010982,  4.9598
GRB140605377,   0.512,0.0000008025,  2.3267
GRB190129515,   8.704,0.0000011022,  3.6841
GRB150601904,   0.768,0.00000012722,  1.6580
GRB150913161,  20.992,0.000010365,  6.8179
GRB170317666, 212.995,0.0000088082,  2.8033
GRB110930564,  37.889,0.0000062323,  2.6209
GRB190622368,  31.744,0.0000018138,  3.8744
GRB150422294,  30.208,0.0000024463,  2.2915
GRB210308838,   0.384,0.00000010404,  1.5485
GRB191213254,  18.944,0.0000032597, 15.7666
GRB130906435,   8.192,0.00000082427,  2.0980
GRB200623752,   0.704,0.00000072179,  2.7898
GRB080804972,  24.704,0.0000091294,  3.8493
GRB190510120,  69.633,0.0000067014,  2.7403
GRB200709147,  51.969,0.0000062104,  6.0203
GRB200224212, 299.525,0.000036841,  7.7318
GRB100204566,  32.513,0.000003775,  3.0925
GRB141215560,  11.264,0.000025822, 20.1158
GRB120521380,  91.134,0.0000031063,  1.5451
GRB191026350,  59.136,0.0000029672,  3.0547
GRB201121062,  59.649,0.000011026,  8.1524
GRB180125891,  22.784,0.000016266, 16.3686
GRB100313288,  12.864,0.0000043972,  6.0541
GRB141122875,  30.720,0.0000040273,  4.3715
GRB150508945, 113.920,0.0000028856,  3.7578
GRB121127914,   0.640,0.0000015847,  4.6315
GRB160316139,  17.152,0.0000019114,  2.1988
GRB170209048,  39.677,0.000010732, 12.4182
GRB120420249,  25.600,0.000002878,  4.5454
GRB090920035,  26.624,0.0000037368,  4.5679
GRB090412061,   0.896,0.00000012463,  0.8667
GRB080831053,   0.576,0.000000056227,  0.3281
GRB100620119,  51.841,0.0000037157,  2.8538
GRB110319628,  15.104,0.0000016823,  2.5359
GRB130830921,  36.352,0.0000014411,  2.2656
GRB150627183,  64.577,0.00017972, 65.2531
GRB161230298,   0.448,0.00000017285,  1.1020
GRB160909061,  18.432,0.0000019165,  2.9941
GRB160609941,  60.160,0.0000021305,  2.6099
GRB101014175, 449.415,0.00020146, 58.9579
GRB150718656,  19.456,0.0000011114,  3.3195
GRB090805622,  46.592,0.0000057886,  4.5194
GRB160905471,  33.537,0.000073168, 16.2113
GRB190609315,  97.538,0.000014363,  3.0101
GRB110706477,  73.217,0.0000067157,  3.3084
GRB190114873, 116.354,0.00044325,246.864
GRB081215880,   7.680,0.0000017803,  4.5642
GRB210201567,  39.680,0.0000029938,  3.6517
GRB201207977,  17.408,0.000012907, 11.0460
GRB150922883,   2.816,0.00000064844,  2.8379
GRB180720933,  23.296,0.0000028286,  2.8374
GRB140608153,  71.681,0.000012302,  5.4223
GRB180404091,  80.897,0.000028009,  7.9814
GRB091207333,  27.073,0.0000053668,  3.4571
GRB120709883,  27.328,0.000013729, 11.0527
GRB100819498,  12.544,0.0000033218,  2.4858
GRB150923864,   1.792,0.0000015772,  7.9475
GRB141012773,  37.633,0.0000066405,  3.5877
GRB121205507,   2.816,0.00000013345,  1.0813
GRB200311636,  52.481,0.000042543, 11.1709
GRB101013412,  15.360,0.0000064104,  7.7801
GRB181029892,  18.688,0.0000044762,  4.1527
GRB090309767,  56.513,0.0000044239,  3.4569
GRB091015129,   3.840,0.00000159,  6.3849
GRB130121835, 178.691,0.000043448, 22.7592
GRB160416022,  26.621,0.0000050656,  4.5479
GRB101227536,  28.864,0.0000064409,  4.9252
GRB150721732,  11.520,0.0000013508,  3.9991
GRB110322558,  36.097,0.0000035602,  2.5995
GRB190916590,  37.376,0.000002958,  2.3674
GRB140115899,  10.496,0.0000032559, 11.5345
GRB140109877,   3.328,0.0000001492,  0.3491
GRB190904174,   7.680,0.00000046986,  2.1782
GRB100424729, 175.363,0.0000092306,  3.1557
GRB120314412,   1.280,0.00000016419,  1.7685
GRB170825784,  65.024,0.0000074724,  4.8834
GRB150301045,   0.416,0.00000018056,  1.6719
GRB180416340, 103.426,0.000038795, 22.2304
GRB160223670, 288.005,0.00001217,  5.3488
GRB150820880,   5.888,0.00000034278,  2.0252
GRB200207058,  15.616,0.0000042157,  7.3099
GRB130919985,  17.408,0.0000033617,  1.9261
GRB210108424,   7.168,0.0000010125,  3.1911
GRB160227831,   7.680,0.000016614, 10.2744
GRB120212353,   0.864,0.000000050869,  1.2230
GRB150322066,  15.613,0.0000036315,  3.3702
GRB180605458,  24.064,0.000018252,  7.2445
GRB151114645,  34.816,0.0000022018,  0.8701
GRB100204024,  49.665,0.0000093529,  4.2366
GRB180611145,   8.960,0.0000047044,  8.4076
GRB150313657,   5.120,0.00000086729,  4.8644
GRB180807097,  54.272,0.0000045402,  3.4045
GRB190830023,  12.288,0.000002056,  3.2789
GRB080815917,   0.832,0.00000046871,  3.2607
GRB150830128,  44.801,0.0000041294,  3.3731
GRB121027038, 166.915,0.0000073949,  2.9216
GRB081226509,   0.192,0.00000034448,  1.6865
GRB150630958,  39.169,0.0000023007,  4.2473
GRB181020792,  15.104,0.000028074, 16.5500
GRB200625532,  63.488,0.000006278,  4.1170
GRB181028590,  29.697,0.000031137, 10.2804
GRB190501794, 424.967,0.0000060339,  2.6978
GRB120801920, 479.239,0.000033402, 15.9591
GRB181026540,  44.800,0.0000057028,  5.5878
GRB190324947,  26.881,0.00001638, 18.3507
GRB161119633,  77.824,0.0000068453,  4.4759
GRB190308923,  45.568,0.0000014427,  2.7723
GRB170906030,  78.849,0.000094607, 21.7396
GRB141102536,   2.624,0.0000014195,  4.7608
GRB090706283,  57.857,0.0000034858,  2.8561
GRB171119992,  26.369,0.000046886, 43.6904
GRB170115743,  44.288,0.000051941, 15.0978
GRB170208758,   7.168,0.0000026299,  8.1414
GRB150604284,  52.736,0.0000014645,  1.4388
GRB130403866,  22.784,0.0000010943,  1.2961
GRB120203812,  10.240,0.0000011004,  3.5121
GRB170629537,  28.160,0.0000043665,  6.0402
GRB090630311,   2.880,0.0000010777,  6.1906
GRB090320418,   7.936,0.0000010047,  1.6018
GRB150908408,  60.928,0.0000034871,  1.8228
GRB170308221,  11.520,0.000018993, 22.1107
GRB170803415,  66.816,0.000010913,  6.6083
GRB120304248,   5.376,0.000011435, 10.3339
GRB200307894,   1.664,0.00000016066,  1.0302
GRB110125894,   4.800,0.00000086257,  5.2515
GRB200319323,  20.480,0.000002904,  3.3255
GRB150222450,  65.281,0.000019539, 16.8260
GRB100718160,  32.641,0.0000027472,  4.0487
GRB180718201,   7.168,0.0000024835,  8.2348
GRB200420106,   0.320,0.000000056547,  0.6896
GRB190511302,  27.648,0.000020998, 14.2419
GRB161128216,   6.912,0.00000072345,  4.2297
GRB210324833,  67.073,0.000061103, 11.8827
GRB100918863,  88.834,0.00012897, 13.2444
GRB210312169,  65.281,0.0000027056,  2.3655
GRB200909168,  28.097,0.0000059553,  8.8713
GRB170402961,  22.528,0.0000021689,  5.1693
GRB120728434, 100.481,0.00011632, 40.8664
GRB190320052,  43.009,0.0000034159,  1.9338
GRB190204627,  41.216,0.0000039989,  3.2932
GRB110817191,   5.949,0.000011948, 24.1277
GRB141112539, 335.876,0.000021555,  2.0972
GRB120701654,   1.024,0.000000083569,  1.7597
GRB090427644,   1.024,0.00000026529,  1.7086
GRB181007385,  46.336,0.0000022738,  2.6499
GRB110228011,  44.481,0.0000051435,  5.5986
GRB190607071,  37.888,0.0000035832,  2.9437
GRB120926753,   3.072,0.00000018784,  1.1842
GRB190425089,   7.680,0.00000042721,  1.0933
GRB120919309,  21.248,0.00001678, 24.5176
GRB120319983,  72.448,0.0000024204,  1.8586
GRB190205938,  98.050,0.000011403,  7.1098
GRB200928290,   0.128,0.00000017771,  0.6820
GRB150523396,  82.433,0.000033082,  8.5215
GRB110511616,   5.888,0.00000048938,  2.2707
GRB170301812,  12.544,0.0000010891,  1.9566
GRB120323162,   4.352,0.0000014084,  5.3743
GRB170424425,  53.249,0.000020288,  4.6811
GRB200619492,  50.432,0.0000046679,  2.7397
GRB200129409,   0.112,0.00000028352,  1.7095
GRB180128881,   1.792,0.00000033083,  1.8938
GRB111024722,  65.025,0.000014403,  9.3429
GRB120611108,  49.921,0.0000045256,  4.5338
GRB150305724,  16.128,0.0000017217,  1.8539
GRB140817229,  26.112,0.0000023813,  3.4546
GRB100517132,  19.840,0.0000012727,  1.9539
GRB110720177,  11.200,0.0000056281,  5.5080
GRB130928537, 132.994,0.000019528,  5.0193
GRB151111356,  46.336,0.0000022064,  1.4413
GRB121014638,   0.576,0.00000012954,  1.3802
GRB101004426, 161.027,0.0000090255,  3.0966
GRB090514734,  54.401,0.0000095504,  4.5649
GRB180131528,   0.960,0.000000041244,  0.8536
GRB090928646,  15.616,0.0000019528,  4.6818
GRB150418819,   3.840,0.00000064146,  4.2688
GRB180201706,   0.192,0.00000022681,  1.7316
GRB120719146,  75.009,0.000013548,  5.7972
GRB081118876,  20.736,0.0000049389,  7.2922
GRB090320045,   2.368,0.0000004447,  1.4152
GRB090623107,  47.105,0.000011845,  6.2181
GRB111103948,   0.320,0.00000028185,  2.4166
GRB210228058,   3.776,0.00000053379,  4.1123
GRB191221802,   2.240,0.00000046276,  1.7617
GRB080828189,   3.008,0.00000041132,  1.4049
GRB090620901,   0.960,0.00000043097,  2.0807
GRB090227310,  16.189,0.000002856,  3.9369
GRB141011467,  12.029,0.0000028852,  4.3934
